,accuracy,accuracy_loss,compression,type,tar_type,repr,share_t,acc_t
0,0.9856,-0.1,4.7996583,BH,K-Means,"[41, 36, 33, 22, 17]",1.3062413,0.5295706
1,0.9844,0.02,7.0511727,BH,K-Means,"[4, 41, 31, 15, 27]",1.1321721,0.53117037
2,0.9854,-0.08,5.755292,BH,K-Means,"[15, 23, 33, 31, 13]",1.2406058,0.53073144
3,0.9858,-0.12,6.0162063,BH,K-Means,"[14, 22, 17, 12, 20]",0.7374065,0.5260408
4,0.983,0.16,6.3195825,BH,K-Means,"[41, 21, 14, 6, 30]",0.76497436,0.5300412
5,0.984,0.06,6.9540515,BH,K-Means,"[47, 6, 16, 8, 41]",0.7645235,0.53180003
6,0.9644,2.02,8.893397,BH,K-Means,"[2, 10, 48, 46, 42]",1.6448743,0.5334234
7,0.9838,0.08,5.593171,BH,K-Means,"[39, 44, 6, 41, 23]",0.7589576,0.531708
8,0.9858,-0.12,5.366533,BH,K-Means,"[11, 34, 35, 15, 48]",1.2565541,0.53634
9,0.9828,0.18,4.9877944,BH,K-Means,"[50, 48, 9, 25, 35]",0.8691151,0.53346515
10,0.979,0.5599999999999999,7.346133,BH,K-Means,"[3, 45, 5, 41, 37]",0.66447854,0.5313058
11,0.9854,-0.08,5.0261507,BH,K-Means,"[12, 34, 34, 28, 44]",1.326026,0.5333073
12,0.9842,0.04,5.38091,BH,K-Means,"[9, 22, 43, 39, 26]",1.5072808,0.5567615
13,0.9844,0.02,4.880873,BH,K-Means,"[50, 30, 32, 47, 24]",1.3905408,0.5333154
14,0.9852,-0.06,5.1130934,BH,K-Means,"[10, 37, 21, 39, 39]",1.1555395,0.5368335
15,0.9854,-0.08,5.830158,BH,K-Means,"[25, 50, 46, 22, 5]",1.524396,0.5337744
16,0.9858,-0.12,5.750703,BH,K-Means,"[20, 29, 18, 32, 13]",0.9007597,0.5339308
17,0.9852,-0.06,4.9408755,BH,K-Means,"[24, 33, 28, 27, 35]",1.2159703,0.538815
18,0.9702,1.44,10.199385,BH,K-Means,"[41, 15, 4, 4, 8]",0.3722055,0.53833437
19,0.9846,0.0,5.572266,BH,K-Means,"[15, 26, 30, 31, 29]",1.2112589,0.5375843
20,0.9848,-0.02,4.9947577,BH,K-Means,"[40, 32, 34, 24, 17]",1.3398232,0.54342556
21,0.9826,0.2,6.2103276,BH,K-Means,"[8, 37, 27, 11, 23]",1.0945284,0.54583144
22,0.9856,-0.1,5.789753,BH,K-Means,"[19, 23, 29, 27, 13]",1.1453676,0.54435444
23,0.983,0.16,6.9663863,BH,K-Means,"[18, 18, 13, 8, 16]",0.6895423,0.5443008
24,0.9812,0.33999999999999997,7.4065185,BH,K-Means,"[44, 17, 10, 4, 26]",0.6045289,0.54675436
25,0.9818,0.27999999999999997,5.9386754,BH,K-Means,"[43, 10, 12, 9, 37]",0.7216866,0.5467973
26,0.9834,0.12,5.931178,BH,K-Means,"[6, 9, 44, 42, 38]",1.5840962,0.5455766
27,0.9796,0.5,6.689036,BH,K-Means,"[40, 43, 4, 37, 19]",0.6421101,0.54446507
28,0.9856,-0.1,5.671634,BH,K-Means,"[15, 30, 31, 12, 44]",1.1767473,0.53105354
29,0.984,0.06,5.1714168,BH,K-Means,"[48, 44, 9, 21, 31]",0.8063431,0.5313444
30,0.9802,0.44,7.4358745,BH,K-Means,"[7, 41, 4, 37, 33]",0.59604144,0.5314903
31,0.9844,0.02,5.339409,BH,K-Means,"[16, 30, 30, 24, 40]",1.1964073,0.5310621
32,0.9844,0.02,5.28869,BH,K-Means,"[13, 18, 39, 35, 22]",1.4079084,0.5350435
33,0.9852,-0.06,4.948904,BH,K-Means,"[46, 26, 28, 43, 20]",1.2700243,0.53482175
34,0.9846,0.0,5.015109,BH,K-Means,"[14, 33, 17, 35, 35]",0.92225194,0.5339792
35,0.985,-0.04,5.2611837,BH,K-Means,"[29, 46, 42, 18, 9]",1.5036364,0.53124166
36,0.9852,-0.06,6.028894,BH,K-Means,"[24, 25, 14, 28, 13]",0.85882473,0.53180695
37,0.9844,0.02,5.251906,BH,K-Means,"[28, 29, 24, 23, 31]",1.1166863,0.5323374
