,accuracy,accuracy_loss,compression,type,tar_type,repr
0,0.9862,-0.16,5.4429636,BH,float 32,"[28, 24, 18, 12, 33]"
1,0.9862,-0.16,5.8019037,BH,float 32,"[23, 19, 25, 23, 9]"
2,0.9858,-0.12,6.0162063,BH,float 32,"[14, 22, 17, 12, 20]"
3,0.9854,-0.08,6.4722714,BH,float 32,"[28, 20, 14, 8, 29]"
4,0.9852,-0.06,6.8043985,BH,float 32,"[16, 8, 25, 27, 13]"
5,0.9844,0.02,7.0511727,BH,float 32,"[4, 41, 31, 15, 27]"
6,0.9842,0.04,7.0891895,BH,float 32,"[33, 13, 9, 7, 13]"
7,0.9834,0.12,7.2735147,BH,float 32,"[39, 18, 9, 7, 7]"
8,0.9832,0.13999999999999999,8.086186,BH,float 32,"[35, 15, 13, 11, 4]"
9,0.9826,0.2,8.167785,BH,float 32,"[32, 12, 15, 11, 4]"
10,0.9824,0.22,8.64795,BH,float 32,"[44, 12, 14, 4, 6]"
11,0.9804,0.42,9.881045,BH,float 32,"[40, 17, 8, 4, 4]"
12,0.976,0.86,10.726086,BH,float 32,"[39, 8, 4, 8, 4]"
13,0.9752,0.9400000000000001,10.768504,BH,float 32,"[40, 8, 4, 4, 7]"
14,0.9748,0.98,10.833984,BH,float 32,"[31, 8, 4, 6, 4]"
15,0.9862,-0.16,5.2287188,GA,float 32,"[49, 24, 25, 14, 37]"
16,0.9858,-0.12,5.554155,GA,float 32,"[44, 8, 45, 25, 42]"
17,0.9854,-0.08,6.663545,GA,float 32,"[11, 29, 7, 14, 41]"
18,0.9852,-0.06,7.1071243,GA,float 32,"[27, 43, 50, 14, 4]"
19,0.9846,0.0,7.374566,GA,float 32,"[16, 43, 50, 14, 4]"
20,0.9844,0.02,7.4319906,GA,float 32,"[39, 18, 22, 14, 4]"
21,0.984,0.06,7.7695885,GA,float 32,"[33, 26, 15, 12, 4]"
22,0.9832,0.13999999999999999,9.504657,GA,float 32,"[8, 8, 15, 14, 4]"
23,0.9812,0.33999999999999997,10.0512905,GA,float 32,"[3, 13, 10, 14, 4]"
24,0.9794,0.52,10.382424,GA,float 32,"[6, 24, 4, 14, 4]"
25,0.9786,0.6,11.452915,GA,float 32,"[2, 24, 20, 14, 4]"
26,0.9764,0.8200000000000001,11.6360035,GA,float 32,"[3, 4, 15, 14, 4]"
27,0.976,0.86,11.773258,GA,float 32,"[2, 24, 12, 14, 4]"
28,0.9866,-0.2,5.7988334,PSO,float 32,"[16, 20, 28, 36, 9]"
29,0.9862,-0.16,5.8650484,PSO,float 32,"[34, 27, 31, 14, 14]"
30,0.9862,-0.16,6.5148144,PSO,float 32,"[5, 21, 38, 26, 9]"
31,0.986,-0.13999999999999999,6.6512146,PSO,float 32,"[10, 23, 28, 20, 8]"
32,0.985,-0.04,6.8775644,PSO,float 32,"[4, 33, 41, 27, 15]"
33,0.985,-0.04,6.983726,PSO,float 32,"[5, 16, 20, 24, 13]"
34,0.985,-0.04,7.4615426,PSO,float 32,"[6, 19, 20, 16, 7]"
35,0.984,0.06,7.6649165,PSO,float 32,"[11, 7, 37, 13, 5]"
36,0.9838,0.08,7.732538,PSO,float 32,"[12, 13, 39, 27, 4]"
37,0.9834,0.12,7.9574647,PSO,float 32,"[3, 9, 35, 41, 8]"
38,0.9822,0.24,9.132575,PSO,float 32,"[6, 6, 35, 12, 4]"
39,0.9782,0.64,10.912689,PSO,float 32,"[4, 4, 39, 16, 4]"
40,0.9778,0.6799999999999999,11.594152,PSO,float 32,"[2, 9, 38, 14, 4]"
41,0.9776,0.7000000000000001,11.594292,PSO,float 32,"[2, 9, 37, 14, 4]"
42,0.977,0.76,11.595268,PSO,float 32,"[2, 9, 40, 13, 4]"
43,0.977,0.76,11.5954075,PSO,float 32,"[2, 9, 39, 13, 4]"
44,0.9766,0.8,12.119264,PSO,float 32,"[2, 6, 38, 14, 4]"
45,0.9766,0.8,12.122055,PSO,float 32,"[2, 6, 38, 12, 4]"
46,0.9868,-0.22,5.221613,BH,float 32,"[48, 25, 19, 14, 39]"
47,0.9862,-0.16,5.679185,BH,float 32,"[33, 26, 35, 37, 7]"
48,0.986,-0.13999999999999999,5.7518477,BH,float 32,"[27, 50, 39, 27, 7]"
49,0.9858,-0.12,6.3992443,BH,float 32,"[20, 7, 17, 46, 15]"
50,0.9854,-0.08,6.4527154,BH,float 32,"[18, 15, 28, 39, 7]"
51,0.9848,-0.02,6.9566326,BH,float 32,"[21, 11, 15, 31, 7]"
52,0.9846,0.0,8.342621,BH,float 32,"[10, 7, 20, 36, 4]"
53,0.9834,0.12,8.697084,BH,float 32,"[9, 7, 9, 45, 4]"
54,0.983,0.16,9.329657,BH,float 32,"[4, 12, 16, 39, 4]"
55,0.981,0.36,9.71656,BH,float 32,"[3, 8, 20, 43, 4]"
56,0.9774,0.72,10.159683,BH,float 32,"[6, 16, 4, 41, 4]"
57,0.9772,0.74,10.260525,BH,float 32,"[5, 13, 4, 36, 4]"
58,0.976,0.86,11.111304,BH,float 32,"[3, 13, 4, 38, 4]"
59,0.9754,0.9199999999999999,11.635332,BH,float 32,"[3, 8, 4, 44, 4]"
60,0.9754,0.9199999999999999,11.650088,BH,float 32,"[3, 7, 4, 36, 4]"
61,0.9866,-0.2,5.156835,GA,float 32,"[21, 41, 18, 27, 27]"
62,0.9858,-0.12,5.8455167,GA,float 32,"[20, 41, 35, 25, 8]"
63,0.9852,-0.06,8.003968,GA,float 32,"[4, 11, 43, 21, 7]"
64,0.9838,0.08,8.969467,GA,float 32,"[4, 46, 15, 21, 4]"
65,0.982,0.26,9.225993,GA,float 32,"[4, 11, 22, 31, 4]"
66,0.9796,0.5,9.875024,GA,float 32,"[2, 9, 15, 21, 28]"
67,0.9786,0.6,9.96156,GA,float 32,"[2, 9, 15, 21, 17]"
68,0.9778,0.6799999999999999,10.351331,GA,float 32,"[4, 44, 4, 44, 4]"
69,0.9778,0.6799999999999999,11.2524185,GA,float 32,"[2, 11, 29, 46, 4]"
70,0.9772,0.74,11.260807,GA,float 32,"[2, 11, 43, 23, 4]"
71,0.9772,0.74,11.261931,GA,float 32,"[2, 11, 48, 21, 4]"
72,0.9772,0.74,11.79792,GA,float 32,"[2, 11, 19, 14, 4]"
73,0.975,0.96,11.800544,GA,float 32,"[2, 11, 27, 11, 4]"
74,0.986,-0.13999999999999999,4.6908455,PSO,float 32,"[40, 26, 46, 25, 46]"
75,0.9858,-0.12,5.866364,PSO,float 32,"[8, 26, 19, 26, 37]"
76,0.9854,-0.08,6.195319,PSO,float 32,"[9, 17, 20, 22, 13]"
77,0.9852,-0.06,6.3939753,PSO,float 32,"[12, 8, 18, 45, 19]"
78,0.985,-0.04,6.675646,PSO,float 32,"[13, 15, 13, 20, 13]"
79,0.9842,0.04,7.680635,PSO,float 32,"[15, 27, 12, 7, 7]"
80,0.9832,0.13999999999999999,8.234895,PSO,float 32,"[26, 10, 8, 37, 4]"
81,0.9824,0.22,9.0006275,PSO,float 32,"[4, 13, 23, 45, 4]"
82,0.9818,0.27999999999999997,9.029541,PSO,float 32,"[8, 4, 11, 46, 6]"
83,0.9818,0.27999999999999997,9.051497,PSO,float 32,"[7, 10, 7, 44, 4]"
84,0.9812,0.33999999999999997,9.090674,PSO,float 32,"[13, 7, 7, 43, 4]"
85,0.981,0.36,9.5737295,PSO,float 32,"[7, 7, 7, 42, 4]"
86,0.9804,0.42,10.381444,PSO,float 32,"[4, 8, 7, 47, 4]"
87,0.9798,0.48,11.106617,PSO,float 32,"[2, 9, 6, 41, 7]"
88,0.9772,0.74,11.281771,PSO,float 32,"[2, 11, 8, 31, 8]"
89,0.9768,0.7799999999999999,12.118974,PSO,float 32,"[2, 9, 7, 46, 4]"
90,0.976,0.86,12.125219,PSO,float 32,"[2, 9, 6, 37, 4]"
91,0.9862,-0.16,5.895332,BH,float 32,"[19, 36, 21, 14, 13]"
92,0.9854,-0.08,6.2425833,BH,float 32,"[16, 20, 13, 12, 26]"
93,0.985,-0.04,6.5692453,BH,float 32,"[21, 27, 7, 14, 25]"
94,0.9848,-0.02,6.658435,BH,float 32,"[18, 20, 6, 14, 23]"
95,0.9834,0.12,6.677078,BH,float 32,"[19, 17, 6, 13, 20]"
96,0.9834,0.12,6.7811785,BH,float 32,"[7, 26, 7, 35, 26]"
97,0.9824,0.22,6.8905344,BH,float 32,"[13, 17, 9, 8, 23]"
98,0.9814,0.32,7.102012,BH,float 32,"[22, 23, 6, 8, 25]"
99,0.9812,0.33999999999999997,7.4478283,BH,float 32,"[24, 33, 4, 14, 18]"
100,0.9812,0.33999999999999997,7.612332,BH,float 32,"[21, 25, 4, 14, 29]"
101,0.9806,0.4,8.128852,BH,float 32,"[23, 25, 4, 6, 28]"
102,0.9796,0.5,8.240102,BH,float 32,"[17, 25, 4, 6, 26]"
103,0.9782,0.64,8.242573,BH,float 32,"[5, 23, 4, 31, 23]"
104,0.978,0.66,8.531275,BH,float 32,"[12, 22, 4, 6, 20]"
105,0.9766,0.8,8.927836,BH,float 32,"[4, 23, 4, 27, 21]"
106,0.976,0.86,9.310969,BH,float 32,"[17, 24, 4, 4, 25]"
107,0.9864,-0.18,5.207644,GA,float 32,"[14, 43, 43, 27, 23]"
108,0.9852,-0.06,5.937707,GA,float 32,"[7, 30, 42, 22, 23]"
109,0.985,-0.04,6.429768,GA,float 32,"[5, 16, 20, 47, 22]"
110,0.9846,0.0,7.2716875,GA,float 32,"[9, 44, 43, 26, 4]"
111,0.9846,0.0,7.288934,GA,float 32,"[5, 44, 16, 8, 20]"
112,0.9842,0.04,8.079416,GA,float 32,"[5, 49, 50, 15, 4]"
113,0.9836,0.1,8.314559,GA,float 32,"[8, 26, 24, 15, 4]"
114,0.9832,0.13999999999999999,8.331617,GA,float 32,"[5, 14, 48, 27, 4]"
115,0.983,0.16,8.334401,GA,float 32,"[5, 14, 20, 38, 4]"
116,0.983,0.16,8.680118,GA,float 32,"[4, 21, 43, 27, 4]"
117,0.9824,0.22,9.101448,GA,float 32,"[5, 17, 25, 8, 4]"
118,0.9822,0.24,9.944907,GA,float 32,"[5, 8, 18, 6, 4]"
119,0.981,0.36,10.278203,GA,float 32,"[5, 6, 16, 8, 4]"
