,accuracy,accuracy_loss,compression,type,tar_type,repr,share_t,acc_t
0,0.9862,0.02,4.7071404,BH,K-Means,"[45, 28, 44, 31, 34]",1.6005657,0.6302495
1,0.9866,-0.02,5.840356,BH,K-Means,"[23, 17, 16, 14, 34]",0.7987852,0.56523824
2,0.9858,0.06,5.017009,BH,K-Means,"[44, 45, 10, 46, 24]",0.893538,0.67879295
3,0.9868,-0.04,5.6302357,BH,K-Means,"[37, 11, 46, 12, 27]",1.4361033,0.56878924
4,0.9856,0.08,5.512452,BH,K-Means,"[14, 19, 49, 16, 45]",1.5150509,0.6128044
5,0.986,0.04,4.38422,BH,K-Means,"[31, 33, 48, 33, 46]",1.622335,0.63569736
6,0.9844,0.2,8.719547,BH,K-Means,"[8, 28, 3, 11, 10]",0.36925888,0.5649431
7,0.986,0.04,5.493431,BH,K-Means,"[14, 29, 10, 38, 42]",0.81383324,0.6041858
8,0.9856,0.08,6.1797276,BH,K-Means,"[13, 12, 34, 12, 18]",1.121305,0.56009483
9,0.9792,0.72,9.765368,BH,K-Means,"[45, 26, 2, 37, 49]",0.5495572,0.61119294
10,0.9872,-0.08,6.064417,BH,K-Means,"[7, 21, 35, 14, 36]",1.227334,0.55936956
11,0.9864,0.0,6.0580215,BH,K-Means,"[31, 15, 11, 47, 13]",0.81974196,0.6336794
12,0.986,0.04,5.7892613,BH,K-Means,"[44, 27, 22, 14, 15]",0.9199097,0.5628481
13,0.9862,0.02,6.702716,BH,K-Means,"[27, 35, 11, 10, 5]",0.63793063,0.56296086
14,0.9864,0.0,7.317228,BH,K-Means,"[10, 33, 6, 20, 7]",0.52628446,0.6393373
15,0.9858,0.06,4.27654,BH,K-Means,"[38, 45, 33, 46, 41]",1.4517639,0.67697287
16,0.9854,0.1,7.396662,BH,K-Means,"[6, 25, 30, 8, 16]",1.0539508,0.5713377
17,0.9858,0.06,5.0586576,BH,K-Means,"[46, 39, 18, 49, 12]",1.0976603,0.63294196
18,0.986,0.04,4.4472857,BH,K-Means,"[39, 46, 50, 23, 50]",1.6843393,0.608654
19,0.9852,0.12,6.7821035,BH,K-Means,"[38, 9, 31, 13, 6]",1.1303327,0.56373644
20,0.9866,-0.02,4.504553,BH,K-Means,"[43, 24, 40, 35, 38]",1.4741757,0.6386261
21,0.9862,0.02,5.444765,BH,K-Means,"[27, 21, 12, 18, 37]",0.7558043,0.6120689
22,0.9864,0.0,5.5174685,BH,K-Means,"[46, 41, 6, 48, 28]",0.7733016,0.7316756
23,0.986,0.04,5.5504208,BH,K-Means,"[41, 15, 42, 15, 31]",1.3586528,0.57046413
