,accuracy,accuracy_loss,compression,type,tar_type,repr
0,0.9874,-0.1,7.380082,BH,float 32,"[7, 26, 16, 8, 18]"
1,0.987,-0.06,8.68755,BH,float 32,"[31, 16, 15, 7, 4]"
2,0.9844,0.2,8.719547,BH,float 32,"[8, 28, 3, 11, 10]"
3,0.984,0.24,9.3726225,BH,float 32,"[12, 26, 8, 3, 7]"
4,0.9838,0.26,10.813663,BH,float 32,"[3, 23, 3, 8, 8]"
5,0.9832,0.32,11.942784,BH,float 32,"[7, 25, 10, 2, 12]"
6,0.9832,0.32,12.77805,BH,float 32,"[27, 15, 11, 3, 2]"
7,0.9826,0.38,13.50909,BH,float 32,"[3, 21, 8, 2, 11]"
8,0.9822,0.42,16.53627,BH,float 32,"[23, 15, 7, 2, 2]"
9,0.98,0.64,16.623837,BH,float 32,"[5, 22, 10, 2, 2]"
10,0.9788,0.76,17.358612,BH,float 32,"[19, 19, 3, 2, 2]"
11,0.9786,0.7799999999999999,18.019592,BH,float 32,"[3, 19, 6, 2, 2]"
12,0.9872,-0.08,4.901838,GA,float 32,"[45, 19, 26, 19, 47]"
13,0.9868,-0.04,5.139124,GA,float 32,"[16, 35, 29, 44, 27]"
14,0.9866,-0.02,5.1825347,GA,float 32,"[30, 20, 47, 49, 16]"
15,0.9864,0.0,5.269414,GA,float 32,"[20, 23, 50, 25, 17]"
16,0.9862,0.02,6.776252,GA,float 32,"[22, 13, 35, 14, 5]"
17,0.9856,0.08,6.8145432,GA,float 32,"[19, 13, 11, 46, 5]"
18,0.9852,0.12,7.333535,GA,float 32,"[5, 44, 15, 31, 5]"
19,0.9846,0.18,11.917305,GA,float 32,"[46, 31, 30, 4, 2]"
20,0.9824,0.4,11.931096,GA,float 32,"[29, 13, 8, 2, 14]"
21,0.982,0.44,16.069323,GA,float 32,"[8, 25, 32, 2, 2]"
22,0.9812,0.52,16.620386,GA,float 32,"[5, 23, 10, 2, 2]"
23,0.9872,-0.08,5.867218,PSO,float 32,"[23, 29, 44, 45, 5]"
24,0.9872,-0.08,5.9372897,PSO,float 32,"[9, 14, 18, 45, 23]"
25,0.9872,-0.08,6.298136,PSO,float 32,"[7, 10, 26, 48, 23]"
26,0.987,-0.06,6.448751,PSO,float 32,"[11, 17, 11, 28, 12]"
27,0.9868,-0.04,6.6425376,PSO,float 32,"[16, 10, 11, 26, 11]"
28,0.9866,-0.02,7.175837,PSO,float 32,"[42, 22, 13, 47, 4]"
29,0.9862,0.02,8.567266,PSO,float 32,"[17, 7, 13, 31, 4]"
30,0.9854,0.1,12.010574,PSO,float 32,"[7, 12, 6, 50, 2]"
31,0.9814,0.5,12.1580715,PSO,float 32,"[3, 20, 12, 50, 2]"
32,0.9812,0.52,12.159833,PSO,float 32,"[3, 14, 17, 39, 2]"
33,0.981,0.54,12.175916,PSO,float 32,"[3, 11, 22, 38, 2]"
34,0.9808,0.5599999999999999,13.005912,PSO,float 32,"[3, 14, 7, 50, 2]"
35,0.9808,0.5599999999999999,14.084479,PSO,float 32,"[3, 12, 4, 47, 2]"
36,0.978,0.84,15.600286,PSO,float 32,"[9, 21, 2, 50, 2]"
37,0.9776,0.88,15.950884,PSO,float 32,"[7, 19, 2, 48, 2]"
38,0.9768,0.96,16.027037,PSO,float 32,"[6, 18, 2, 49, 2]"
39,0.9768,0.96,16.21956,PSO,float 32,"[8, 10, 2, 45, 2]"
40,0.9766,0.98,17.285301,PSO,float 32,"[3, 12, 2, 39, 2]"
41,0.9872,-0.08,5.5179048,BH,float 32,"[29, 15, 16, 45, 35]"
42,0.987,-0.06,5.9299674,BH,float 32,"[7, 27, 19, 50, 24]"
43,0.987,-0.06,6.3495216,BH,float 32,"[9, 11, 38, 29, 9]"
44,0.9864,0.0,7.108102,BH,float 32,"[8, 13, 13, 12, 20]"
45,0.9862,0.02,7.244053,BH,float 32,"[6, 25, 14, 47, 6]"
46,0.986,0.04,7.653403,BH,float 32,"[4, 13, 26, 15, 22]"
47,0.9856,0.08,12.076253,BH,float 32,"[6, 8, 16, 42, 2]"
